product_id,category,brand,mrp,selling_price,discount_pct,rating,num_ratings,listing_date
FLP-30025,Home Appliances,Samsung,10210,7550,26.1,4.3,106,2026-06-13
FLP-30026,Smartwatches,Samsung,3140,1580,49.8,4.1,3636,2025-03-07
FLP-30027,Smartwatches,Fire-Boltt,4260,3160,25.9,3.5,340,2025-01-02
FLP-30028,Home Appliances,Whirlpool,15770,14210,9.9,3.5,1055,2025-10-02
FLP-30029,Home Appliances,Whirlpool,6240,4220,32.3,4.7,501,2025-05-22
FLP-30030,Footwear,Puma,1530,1100,28.3,4.2,403,2025-06-15
FLP-30031,Televisions,LG,50290,33090,34.2,4.2,1892,2026-02-05
FLP-30032,Smartwatches,Apple,4630,3630,21.7,4.0,699,2025-05-01
FLP-30033,Home Appliances,Whirlpool,6110,4570,25.1,3.9,161,2025-10-18
FLP-30034,Home Appliances,LG,17860,14070,21.2,4.2,979,2025-06-28
FLP-30035,Fashion,Levis,2740,1630,40.6,3.7,443,2026-04-11
FLP-30036,Headphones,JBL,1330,810,39.2,3.7,5,2025-11-13
FLP-30037,Laptops,Lenovo,79110,47640,39.8,3.4,541,2026-03-18
FLP-30038,Home Appliances,Havells,6000,4130,31.2,4.2,196,2025-06-29
FLP-30039,Laptops,Acer,88330,74800,15.3,4.1,777,2026-02-10
FLP-30040,Fashion,Roadster,600,440,27.5,3.7,292,2026-06-04
FLP-30041,Headphones,Sony,1640,1340,18.2,3.6,2040,2026-03-21
FLP-30042,Smartphones,Vivo,13370,10310,22.9,4.6,143,2025-05-05
FLP-30043,Laptops,Dell,86700,65930,24.0,4.2,218,2026-06-11
FLP-30044,Fashion,Levis,660,550,16.6,4.3,1823,2025-08-08
FLP-30045,Home Appliances,Havells,8510,5070,40.4,3.3,2183,2025-08-26
FLP-30046,Smartwatches,Samsung,2140,1330,37.8,4.9,1991,2025-08-26
FLP-30047,Smartwatches,boAt,4630,3120,32.5,4.5,517,2025-05-11
FLP-30048,Home Appliances,Samsung,14000,9470,32.4,4.0,245,2025-05-08
FLP-30049,Fashion,H&M,1610,1030,35.8,4.3,417,2025-02-07
FLP-30050,Fashion,Levis,1960,1310,33.3,4.1,181,2026-02-14
FLP-30051,Home Appliances,LG,14680,7170,51.2,3.0,769,2025-05-23
FLP-30052,Fashion,Levis,1120,690,38.7,4.7,357,2025-03-18
FLP-30053,Smartwatches,Fire-Boltt,3900,2020,48.1,3.5,1240,2025-12-20
FLP-30054,Fashion,Levis,970,660,32.5,4.0,2765,2025-11-26
FLP-30055,Laptops,Lenovo,22500,16170,28.1,4.7,363,2025-11-21
FLP-30056,Smartphones,Vivo,28570,21690,24.1,4.1,88,2026-01-27
FLP-30057,Footwear,Puma,1240,720,42.2,3.9,188,2026-05-26
FLP-30058,Fashion,Van Heusen,1700,1030,39.1,3.8,426,2026-03-09
FLP-30059,Home Appliances,Bosch,6000,4670,22.2,4.3,2352,2025-04-28
FLP-30060,Headphones,Sony,2000,1620,19.1,4.2,481,2026-03-27
FLP-30061,Laptops,Acer,36760,24020,34.6,3.4,1094,2026-06-11
FLP-30062,Fashion,H&M,2050,1500,26.8,5.0,257,2025-07-29
FLP-30063,Televisions,TCL,47000,32420,31.0,4.3,547,2026-01-25
FLP-30064,Fashion,H&M,840,400,52.8,4.3,782,2026-03-26
FLP-30065,Laptops,Lenovo,32000,26140,18.3,4.2,973,2025-05-16
FLP-30066,Laptops,Asus,22500,15290,32.1,4.2,602,2025-12-02
FLP-30067,Laptops,Dell,85370,48080,43.7,3.7,259,2025-05-18
FLP-30068,Televisions,Mi,15000,10610,29.3,4.7,293,2026-05-17
FLP-30069,Home Appliances,Samsung,6910,5070,26.6,4.2,2402,2025-05-17
FLP-30070,Smartphones,OnePlus,23620,17200,27.2,3.8,2906,2026-06-13
FLP-30071,Fashion,Levis,2770,1680,39.2,3.6,3288,2025-12-08
FLP-30072,Headphones,Boult,1600,960,39.8,4.0,84,2025-03-29
FLP-30073,Televisions,Samsung,41400,26650,35.6,4.4,88,2025-08-20
FLP-30074,Footwear,Campus,2480,1780,28.3,3.6,570,2026-06-17
FLP-30075,Smartwatches,boAt,1500,1220,18.6,3.9,404,2026-04-13
FLP-30076,Smartphones,OnePlus,15280,11490,24.8,3.3,578,2026-01-10
FLP-30077,Footwear,Adidas,1940,1270,34.5,3.7,1539,2026-04-20
FLP-30078,Headphones,Noise,2760,1920,30.3,4.0,2582,2025-03-30
FLP-30079,Smartphones,Vivo,7500,5450,27.3,3.2,2445,2025-09-01
FLP-30080,Fashion,Levis,2320,1320,43.1,4.3,192,2025-09-29
FLP-30081,Fashion,Roadster,790,530,32.5,3.8,62,2025-06-28
FLP-30082,Footwear,Bata,2320,1150,50.5,3.5,441,2025-05-02
FLP-30083,Smartphones,Samsung,18000,11940,33.7,4.6,220,2025-02-10
FLP-30084,Headphones,Sony,1320,1220,7.9,4.0,448,2025-11-09
FLP-30085,Laptops,HP,51410,39330,23.5,3.7,184,2025-01-06
FLP-30086,Laptops,Acer,66210,49300,25.5,3.3,2125,2025-07-10
FLP-30087,Fashion,H&M,1000,660,33.7,4.8,971,2025-12-07
FLP-30088,Laptops,Apple,22500,18950,15.8,3.8,2099,2025-08-09
FLP-30089,Smartwatches,Noise,6690,4500,32.7,3.8,430,2025-10-22
FLP-30090,Smartwatches,Noise,1510,1060,29.5,3.9,7,2025-02-17
FLP-30091,Fashion,Roadster,600,410,32.1,4.2,192,2025-09-12
FLP-30092,Home Appliances,Bosch,8580,6590,23.3,4.5,223,2025-12-04
FLP-30093,Headphones,JBL,2570,1350,47.6,4.3,181,2025-09-25
FLP-30094,Home Appliances,Samsung,6000,5270,12.2,3.6,2168,2025-03-05
FLP-30095,Smartwatches,Samsung,5920,4040,31.8,4.4,256,2026-06-08
FLP-30096,Laptops,Acer,22500,15150,32.6,4.0,4278,2025-09-07
FLP-30097,Televisions,LG,16250,10320,36.5,4.0,80,2025-06-12
FLP-30098,Laptops,Dell,22500,13170,41.4,4.5,1651,2025-07-09
FLP-30099,Fashion,Van Heusen,920,720,21.8,3.8,249,2026-01-15
FLP-30100,Headphones,JBL,1000,780,21.9,3.7,544,2025-11-26
FLP-30101,Fashion,H&M,1510,920,38.9,4.1,940,2026-06-11
FLP-30102,Fashion,H&M,600,490,19.2,3.7,889,2025-08-04
FLP-30103,Televisions,Mi,15850,13130,17.2,4.6,218,2025-05-24
FLP-30104,Smartwatches,boAt,1590,1070,32.6,4.6,404,2025-01-04
FLP-30105,Smartphones,Realme,7500,4150,44.7,3.0,659,2026-01-19
FLP-30106,Televisions,TCL,25940,16460,36.5,4.0,1570,2026-05-31
FLP-30107,Headphones,JBL,1160,620,46.5,3.7,599,2026-05-14
FLP-30108,Footwear,Puma,3100,2070,33.3,3.1,54,2026-04-16
FLP-30109,Headphones,Boult,1570,1130,28.0,4.0,549,2026-05-03
FLP-30110,Fashion,Van Heusen,1800,1090,39.5,4.1,701,2026-04-21
FLP-30111,Smartwatches,Noise,1500,1060,29.5,4.7,825,2025-10-17
FLP-30112,Fashion,Roadster,1200,780,35.0,4.0,62,2025-01-27
FLP-30113,Footwear,Puma,1550,1220,21.3,4.5,895,2025-08-24
FLP-30114,Laptops,Lenovo,106300,78350,26.3,4.4,1111,2025-10-29
FLP-30115,Fashion,Roadster,600,390,35.5,3.5,1039,2025-10-27
FLP-30116,Home Appliances,Samsung,19540,14090,27.9,4.4,198,2025-03-08
FLP-30117,Home Appliances,Whirlpool,11640,7720,33.7,4.0,908,2025-09-02
FLP-30118,Smartwatches,Samsung,2450,1190,51.3,4.5,731,2026-02-24
FLP-30119,Headphones,Sony,1000,770,22.8,4.2,5,2025-03-22
FLP-30120,Fashion,Roadster,2400,1560,34.8,4.0,982,2026-03-19
FLP-30121,Smartphones,Vivo,21970,13840,37.0,4.5,1758,2025-08-22
FLP-30122,Smartwatches,boAt,1840,1380,25.2,4.3,451,2026-06-16
FLP-30123,Laptops,Apple,28100,20260,27.9,4.1,1745,2025-09-25
FLP-30124,Laptops,Asus,50370,29960,40.5,3.9,719,2025-04-20
FLP-30125,Smartphones,Xiaomi,14430,8260,42.8,3.8,1796,2025-03-02
FLP-30126,Headphones,JBL,1250,810,35.0,4.0,605,2026-05-22
FLP-30127,Smartphones,Vivo,16950,11450,32.4,4.0,395,2026-04-24
FLP-30128,Smartphones,Samsung,7500,5150,31.3,4.7,31,2025-01-06
FLP-30129,Smartwatches,Samsung,5360,4240,20.9,4.2,102,2026-06-06
FLP-30130,Headphones,Boult,5200,3730,28.2,3.7,1606,2025-06-13
FLP-30131,Footwear,Nike,3530,3490,1.2,3.0,201,2025-09-26
FLP-30132,Smartphones,Apple,22070,20650,6.4,3.8,1310,2026-05-11
FLP-30133,Headphones,JBL,4260,2550,40.1,3.5,869,2025-01-12
FLP-30134,Smartwatches,Noise,7040,5460,22.5,4.2,722,2025-03-12
FLP-30135,Home Appliances,LG,6000,5030,16.1,4.7,1030,2025-07-11
FLP-30136,Smartwatches,boAt,2070,1160,43.7,4.2,172,2025-04-05
FLP-30137,Smartwatches,Noise,2910,1770,39.2,4.2,1029,2025-01-06
FLP-30138,Footwear,Bata,1200,810,32.5,3.0,266,2025-06-04
FLP-30139,Fashion,Roadster,930,630,31.9,4.0,538,2025-05-13
FLP-30140,Televisions,Sony,15000,10280,31.5,3.7,1547,2026-04-22
FLP-30141,Televisions,Samsung,74840,59180,20.9,4.0,606,2025-01-14
FLP-30142,Televisions,TCL,23830,13950,41.5,4.0,27,2025-08-31
FLP-30143,Smartwatches,boAt,3500,2490,28.7,4.1,251,2025-07-06
FLP-30144,Headphones,boAt,2050,1290,36.9,3.3,1053,2026-04-02
FLP-30145,Televisions,Sony,15000,11520,23.2,4.5,226,2025-06-01
FLP-30146,Headphones,JBL,1880,1280,32.0,3.9,555,2026-04-09
FLP-30147,Fashion,H&M,1530,1210,21.2,4.2,943,2025-07-26
FLP-30148,Smartphones,OnePlus,9760,5120,47.6,4.2,379,2025-01-02
FLP-30149,Footwear,Puma,1070,740,30.9,3.6,113,2025-03-15
FLP-30150,Headphones,JBL,2300,1150,50.2,5.0,185,2026-02-27
FLP-30151,Smartphones,Apple,16440,14860,9.6,4.3,884,2025-05-15
FLP-30152,Smartphones,Xiaomi,17010,10130,40.4,4.7,1929,2025-03-07
FLP-30153,Footwear,Adidas,900,590,34.0,3.9,657,2025-06-22
FLP-30154,Home Appliances,LG,12790,7620,40.4,3.6,65,2025-02-28
FLP-30155,Fashion,Levis,600,370,38.6,3.2,3378,2025-02-16
FLP-30156,Smartphones,Samsung,12470,9430,24.3,5.0,423,2025-03-10
FLP-30157,Home Appliances,LG,6880,5170,24.8,4.1,572,2026-06-02
FLP-30158,Smartphones,Samsung,18930,13510,28.7,3.3,813,2025-04-15
FLP-30159,Televisions,Sony,18170,15760,13.3,4.3,4581,2026-01-03
FLP-30160,Smartwatches,Noise,1730,1260,27.3,3.2,1684,2025-02-18
FLP-30161,Footwear,Adidas,1530,1120,26.6,4.3,340,2025-10-28
FLP-30162,Smartphones,Apple,7500,4870,35.1,4.1,344,2026-05-14
FLP-30163,Headphones,Noise,2060,1400,32.0,3.6,254,2025-07-26
FLP-30164,Fashion,Van Heusen,1790,1390,22.4,3.7,457,2026-02-08
FLP-30165,Footwear,Adidas,5710,4040,29.2,3.7,477,2025-07-01
FLP-30166,Smartwatches,boAt,1500,1140,23.7,4.2,451,2025-12-18
FLP-30167,Home Appliances,Havells,12450,6580,47.1,4.1,386,2025-04-22
FLP-30168,Footwear,Puma,1100,660,40.2,3.6,1596,2025-01-24
FLP-30169,Laptops,Acer,44840,29820,33.5,3.7,411,2025-11-25
FLP-30170,Smartphones,Apple,15150,12790,15.6,4.3,1041,2025-07-21
FLP-30171,Headphones,boAt,2230,1540,31.1,3.8,18,2026-03-06
FLP-30172,Smartwatches,Apple,1500,1270,15.7,3.5,471,2025-09-03
FLP-30173,Smartwatches,boAt,3070,2270,26.0,4.3,503,2025-12-24
FLP-30174,Home Appliances,Bosch,15620,11560,26.0,5.0,973,2025-02-09
FLP-30175,Headphones,Noise,1000,570,43.3,4.0,159,2025-08-30
FLP-30176,Headphones,Sony,1010,690,31.4,4.2,680,2025-08-21
FLP-30177,Laptops,Dell,141740,91880,35.2,4.3,225,2025-10-24
FLP-30178,Headphones,Sony,1000,930,7.1,4.2,387,2025-03-26
FLP-30179,Smartphones,Xiaomi,12800,8640,32.5,4.7,590,2025-08-07
FLP-30180,Smartphones,OnePlus,16580,15610,5.8,4.3,2876,2026-02-20
FLP-30181,Televisions,Sony,23140,20490,11.5,3.7,367,2025-09-25
FLP-30182,Smartphones,Apple,27350,20550,24.9,5.0,31,2026-02-09
FLP-30183,Footwear,Bata,4820,3400,29.5,4.3,1545,2026-02-09
FLP-30184,Smartphones,OnePlus,7500,6160,17.9,4.6,637,2025-01-18
FLP-30185,Headphones,boAt,1140,820,27.9,3.7,1862,2025-10-26
FLP-30186,Smartwatches,Apple,2160,1690,21.8,3.6,352,2026-03-18
FLP-30187,Televisions,LG,26250,18210,30.6,3.9,701,2025-10-22
FLP-30188,Smartphones,Vivo,14660,9620,34.4,3.7,976,2026-05-04
FLP-30189,Televisions,Samsung,15000,9570,36.2,3.4,886,2026-05-29
FLP-30190,Smartphones,OnePlus,19800,11670,41.0,4.3,386,2025-03-02
FLP-30191,Fashion,H&M,810,580,28.5,4.3,2118,2025-11-21
FLP-30192,Smartphones,Vivo,7500,5560,25.9,3.7,323,2025-02-16
FLP-30193,Headphones,Sony,1000,780,22.4,3.6,746,2026-06-18
FLP-30194,Home Appliances,Havells,10510,5390,48.7,4.4,979,2025-08-22
FLP-30195,Headphones,Noise,1000,630,36.9,4.2,461,2025-07-04
FLP-30196,Fashion,H&M,600,400,33.3,3.7,1379,2026-06-06
FLP-30197,Fashion,H&M,930,640,30.8,4.5,1108,2025-03-06
FLP-30198,Headphones,Noise,2080,1450,30.4,3.4,752,2025-01-29
FLP-30199,Smartwatches,Samsung,2950,2070,29.8,4.1,941,2025-05-08
FLP-30200,Headphones,Noise,2820,2080,26.1,3.3,366,2025-11-05
FLP-30201,Footwear,Puma,900,770,14.4,3.7,2348,2026-03-08
FLP-30202,Smartphones,Realme,7500,4510,39.8,4.4,2170,2025-06-07
FLP-30203,Smartwatches,Samsung,3540,2360,33.4,4.2,1855,2026-02-15
FLP-30204,Smartwatches,boAt,3710,2850,23.1,4.4,2034,2026-01-13
FLP-30205,Smartphones,OnePlus,9520,6620,30.5,4.2,268,2026-02-06
FLP-30206,Headphones,boAt,1000,750,25.4,4.5,86,2025-06-10
FLP-30207,Fashion,H&M,700,520,26.3,4.4,703,2025-09-06
FLP-30208,Televisions,Sony,28900,20170,30.2,3.7,605,2025-08-29
FLP-30209,Fashion,Allen Solly,3690,2240,39.3,4.1,274,2025-08-03
FLP-30210,Fashion,H&M,1440,950,34.3,3.2,487,2025-04-27
FLP-30211,Laptops,Acer,32070,18860,41.2,4.1,567,2025-06-14
FLP-30212,Smartwatches,boAt,1940,1260,34.8,4.1,1427,2025-10-06
FLP-30213,Televisions,Samsung,20600,14560,29.3,4.5,2851,2025-05-18
FLP-30214,Home Appliances,Havells,12360,7340,40.6,3.7,544,2025-07-17
FLP-30215,Televisions,TCL,19990,15850,20.7,3.8,60,2025-09-12
FLP-30216,Smartwatches,Apple,4230,3590,15.2,4.5,929,2026-04-02
FLP-30217,Televisions,TCL,30530,19330,36.7,4.7,562,2025-05-21
FLP-30218,Home Appliances,Whirlpool,6000,4320,27.9,5.0,749,2025-12-02
FLP-30219,Smartwatches,Noise,7900,4880,38.2,3.3,1049,2026-02-18
FLP-30220,Smartwatches,Noise,1500,1240,17.6,3.9,285,2025-12-16
FLP-30221,Headphones,Sony,1000,800,19.8,3.7,753,2026-05-03
FLP-30222,Smartwatches,Samsung,6280,4450,29.1,4.2,31,2026-05-05
FLP-30223,Fashion,Levis,600,410,31.7,4.7,755,2025-03-31
FLP-30224,Televisions,Samsung,15000,8700,42.0,3.3,3301,2026-03-02
FLP-30225,Laptops,Dell,22500,15660,30.4,4.9,555,2025-07-11
FLP-30226,Laptops,Dell,35140,24970,28.9,3.2,1099,2025-05-23
FLP-30227,Home Appliances,Whirlpool,9140,6470,29.2,3.8,1226,2025-11-16
FLP-30228,Smartwatches,Apple,3600,2800,22.1,3.2,1170,2025-11-10
FLP-30229,Headphones,Sony,1000,820,18.4,5.0,1105,2026-02-06
FLP-30230,Home Appliances,Samsung,22900,15500,32.3,4.8,1046,2026-03-12
FLP-30231,Televisions,Mi,20650,13700,33.7,4.5,99,2025-03-07
FLP-30232,Headphones,boAt,2770,1640,40.7,4.6,8,2025-06-26
FLP-30233,Laptops,Lenovo,37260,27440,26.3,3.9,128,2025-05-10
FLP-30234,Fashion,Van Heusen,680,520,23.6,3.5,690,2025-03-01
FLP-30235,Home Appliances,Havells,17320,11060,36.1,3.3,285,2026-03-03
FLP-30236,Televisions,Sony,15000,9730,35.1,4.2,1174,2025-05-06
FLP-30237,Fashion,H&M,800,630,20.9,3.9,710,2026-03-19
FLP-30238,Home Appliances,LG,6000,4820,19.7,4.0,104,2025-04-07
FLP-30239,Footwear,Adidas,3890,1680,56.8,3.8,1797,2026-02-15
FLP-30240,Fashion,H&M,670,510,23.3,3.6,1564,2025-02-11
FLP-30241,Smartphones,Apple,26570,21220,20.1,4.0,115,2025-11-22
FLP-30242,Fashion,Allen Solly,600,460,22.9,3.7,1611,2025-03-04
FLP-30243,Smartwatches,Fire-Boltt,1530,1170,23.7,3.7,499,2026-03-26
FLP-30244,Footwear,Bata,1500,900,39.9,4.4,419,2025-08-24
FLP-30245,Home Appliances,Bosch,25230,20950,17.0,4.2,253,2025-10-17
FLP-30246,Headphones,Sony,1530,1140,25.7,4.4,307,2025-02-04
FLP-30247,Laptops,Apple,46830,36590,21.9,3.7,689,2025-05-01
FLP-30248,Smartphones,Realme,22710,15980,29.6,3.2,431,2025-06-06
FLP-30249,Headphones,JBL,3390,2540,25.0,3.3,266,2026-04-02
FLP-30250,Home Appliances,LG,10810,6260,42.1,4.4,158,2025-06-04
FLP-30251,Footwear,Campus,1460,850,41.9,4.5,259,2026-06-22
FLP-30252,Headphones,Noise,4510,3580,20.6,3.8,2604,2026-02-01
FLP-30253,Fashion,Roadster,600,440,26.4,4.1,1618,2025-02-11
FLP-30254,Laptops,Apple,28860,21680,24.9,4.3,4360,2025-06-17
FLP-30255,Smartwatches,Samsung,1500,1230,17.7,4.0,2478,2026-05-10
FLP-30256,Smartwatches,Noise,1500,1060,29.6,4.0,3342,2025-03-10
FLP-30257,Headphones,Sony,1350,1130,16.4,2.9,131,2026-04-06
FLP-30258,Laptops,Apple,31410,26690,15.0,4.1,1072,2025-03-24
FLP-30259,Footwear,Nike,3070,2640,14.1,4.0,329,2025-06-09
FLP-30260,Headphones,JBL,1560,1020,34.4,4.0,147,2026-06-15
FLP-30261,Smartwatches,boAt,2010,1540,23.3,4.5,1369,2025-03-21
FLP-30262,Headphones,Boult,1070,810,24.3,3.6,14,2026-01-08
FLP-30263,Footwear,Campus,1190,890,25.4,4.5,529,2026-03-02
FLP-30264,Headphones,Noise,1390,1000,27.9,3.6,4134,2025-08-07
FLP-30265,Fashion,Roadster,600,330,44.7,3.2,822,2025-05-24
FLP-30266,Footwear,Adidas,2280,1240,45.8,4.0,127,2026-03-03
FLP-30267,Footwear,Bata,900,630,30.3,3.8,649,2025-08-13
FLP-30268,Televisions,LG,18290,11860,35.1,3.0,423,2026-01-20
FLP-30269,Smartwatches,Samsung,1500,1220,18.9,3.9,657,2025-01-22
FLP-30270,Smartwatches,Apple,6850,5900,13.9,4.5,1174,2025-05-28
FLP-30271,Home Appliances,Bosch,6160,5410,12.1,3.0,3568,2025-06-01
FLP-30272,Televisions,Samsung,15000,9310,38.0,4.4,1347,2026-05-19
FLP-30273,Home Appliances,Whirlpool,16730,12360,26.1,4.5,31,2025-03-22
FLP-30274,Headphones,Noise,1000,790,20.9,3.6,581,2025-08-22
FLP-30275,Laptops,HP,29160,20800,28.7,4.1,1944,2025-09-24
FLP-30276,Home Appliances,Bosch,9620,7120,26.0,4.0,882,2025-07-29
FLP-30277,Laptops,Apple,147260,127620,13.3,4.6,386,2025-09-28
FLP-30278,Headphones,JBL,1640,1160,29.1,5.0,680,2025-12-16
FLP-30279,Smartwatches,Apple,1810,1680,7.1,3.6,340,2026-05-29
FLP-30280,Headphones,Boult,1000,620,38.4,3.9,2419,2025-08-16
FLP-30281,Televisions,Samsung,63070,38090,39.6,4.2,1904,2026-02-28
FLP-30282,Smartphones,Samsung,7500,5570,25.7,4.4,681,2025-09-11
FLP-30283,Laptops,HP,46780,37410,20.0,3.7,1395,2025-10-16
FLP-30284,Smartphones,Apple,7500,7500,0.0,4.5,2329,2025-10-22
FLP-30285,Laptops,HP,164490,113760,30.8,3.9,368,2025-12-07
FLP-30286,Smartphones,Vivo,32170,22150,31.2,4.2,3014,2025-08-21
FLP-30287,Home Appliances,Samsung,6000,4020,32.9,3.2,475,2025-01-16
FLP-30288,Footwear,Campus,1710,1490,12.7,3.7,194,2025-09-27
FLP-30289,Smartwatches,Samsung,1500,1110,25.8,3.4,493,2026-02-27
FLP-30290,Home Appliances,Whirlpool,17160,15070,12.2,3.8,129,2025-02-05
FLP-30291,Home Appliances,LG,16730,8560,48.8,3.5,560,2025-02-15
FLP-30292,Home Appliances,Samsung,15750,10290,34.6,3.7,751,2025-07-14
FLP-30293,Headphones,boAt,2020,1450,28.1,3.7,177,2026-02-11
FLP-30294,Headphones,Sony,1410,1060,24.8,4.2,1821,2025-10-01
FLP-30295,Footwear,Adidas,3060,1730,43.5,4.0,619,2026-04-01
FLP-30296,Footwear,Nike,900,670,25.1,4.2,844,2025-06-04
FLP-30297,Smartwatches,boAt,1500,1120,25.5,3.9,144,2026-03-24
FLP-30298,Home Appliances,Havells,18810,13270,29.4,4.0,1612,2025-03-05
FLP-30299,Laptops,Lenovo,23070,16350,29.1,3.9,935,2025-05-12
FLP-30300,Televisions,Mi,25530,18460,27.7,3.2,230,2025-02-25
FLP-30301,Televisions,LG,15000,8390,44.1,4.4,2122,2025-08-15
FLP-30302,Footwear,Adidas,1090,800,26.8,3.3,9,2025-05-20
FLP-30303,Smartphones,Samsung,27240,18750,31.2,4.2,123,2025-02-21
FLP-30304,Headphones,Sony,1000,760,24.1,3.8,1149,2026-02-01
FLP-30305,Smartwatches,Apple,2520,1800,28.4,3.9,4186,2025-11-02
FLP-30306,Televisions,Sony,40480,26670,34.1,4.0,122,2026-05-20
FLP-30307,Headphones,JBL,3320,2010,39.6,4.5,276,2025-09-08
FLP-30308,Smartwatches,boAt,2910,1740,40.2,4.5,625,2026-04-25
FLP-30309,Home Appliances,LG,8410,6220,26.0,4.6,681,2025-03-12
FLP-30310,Televisions,Samsung,20050,14030,30.0,5.0,296,2025-12-08
FLP-30311,Fashion,Van Heusen,700,460,34.0,3.5,993,2026-02-04
FLP-30312,Footwear,Nike,2280,1540,32.2,4.1,1902,2026-04-17
FLP-30313,Fashion,H&M,1280,990,22.8,4.8,2085,2025-02-10
FLP-30314,Smartphones,Samsung,19220,11570,39.8,3.9,778,2025-04-18
FLP-30315,Fashion,Levis,1160,690,40.5,3.5,2344,2025-12-22
FLP-30316,Footwear,Nike,1490,1120,25.1,4.6,1735,2025-05-23
FLP-30317,Fashion,H&M,600,350,41.6,4.9,1599,2025-07-26
FLP-30318,Home Appliances,Bosch,13900,11620,16.4,4.2,1305,2026-03-13
FLP-30319,Footwear,Adidas,900,650,28.2,4.9,1857,2026-03-23
FLP-30320,Smartwatches,boAt,9700,5650,41.7,3.9,127,2025-04-25
FLP-30321,Fashion,H&M,600,490,18.8,4.3,4150,2026-06-01
FLP-30322,Laptops,HP,22500,12370,45.0,4.1,1735,2026-03-24
FLP-30323,Televisions,Mi,74960,54460,27.3,4.0,848,2026-06-24
FLP-30324,Footwear,Adidas,3070,1960,36.3,4.9,20,2026-06-02
FLP-30325,Laptops,Apple,55850,39550,29.2,4.0,30,2025-09-21
FLP-30326,Televisions,Samsung,29150,19740,32.3,4.0,1287,2025-05-19
FLP-30327,Headphones,Sony,3130,2010,35.8,4.7,1211,2025-05-10
FLP-30328,Footwear,Puma,3180,1910,39.9,4.0,414,2025-03-22
FLP-30329,Televisions,LG,15120,10200,32.6,3.4,715,2025-02-23
FLP-30330,Home Appliances,LG,6000,4840,19.4,3.2,307,2025-11-26
FLP-30331,Laptops,Asus,64240,34770,45.9,4.2,24,2025-08-05
FLP-30332,Televisions,TCL,44460,36070,18.9,3.9,1641,2025-02-01
FLP-30333,Smartphones,Samsung,10860,6820,37.2,2.8,2538,2025-12-25
FLP-30334,Footwear,Bata,900,560,38.0,4.7,256,2025-09-10
FLP-30335,Smartwatches,Noise,4370,3040,30.3,4.6,908,2026-04-10
FLP-30336,Home Appliances,Whirlpool,23690,13250,44.1,4.3,90,2025-05-13
FLP-30337,Laptops,Acer,42040,32220,23.4,3.4,392,2025-04-26
FLP-30338,Smartphones,Samsung,11730,6720,42.7,3.4,1415,2025-09-22
FLP-30339,Footwear,Puma,900,610,32.1,3.9,1173,2025-02-19
FLP-30340,Smartwatches,Fire-Boltt,1500,1110,26.3,5.0,252,2025-10-07
FLP-30341,Televisions,Mi,17480,11710,33.0,4.2,2876,2025-08-07
FLP-30342,Home Appliances,LG,11690,6910,40.9,3.4,345,2025-02-15
FLP-30343,Footwear,Adidas,1570,1010,35.4,4.6,252,2026-02-08
FLP-30344,Televisions,Sony,22300,16580,25.6,4.2,5,2025-05-28
FLP-30345,Televisions,Sony,26660,21290,20.1,3.8,159,2025-07-17
